VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Base MSRP,StateID
5YJYGAEE5M,Pinal,Maricopa,AZ,85138,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,110
7JRH60FZ8N,Maricopa,Goodyear,AZ,85395,2022,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),41,51000,110
JTDKAMFP0M,Maricopa,Tempe,AZ,85281,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25,27450,110
2C4RC1N75K,Rock Island,Rock Island,IL,61201,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),220,44995,165
5YJYGAEE7M,Cook,Skokie,IL,60077,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,165
5YJ3E1EB1L,St. Clair,Belleville,IL,62220,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,165
3C3CFFGE3G,St. Clair,Mascoutah,IL,62258,2016,FIAT,500,Battery Electric Vehicle (BEV),84,32000,165
5YJ3E1EB3J,Lake,Highland Park,IL,60035,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,165
5YJYGDEE2L,Lake,Gurnee,IL,60031,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,165
2C4RC1N79J,Penobscot,Bangor,ME,4401,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33,44995,195
1G1FW6S09J,Chaves,Roswell,NM,88201,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,225
JTMEB3FV4N,Montgomery,Montgomery,AL,36106,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,41590,100
5YJ3E1EB9L,Pulaski,Little Rock,AR,72207,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,115
1N4BZ1CPXK,Pulaski,Little Rock,AR,72207,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),149,28000,115
5UXKT0C39H,Sevier,De Queen,AR,71832,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),14,63900,115
7SAYGDEF1N,Pulaski,Little Rock,AR,72205,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,115
5YJ3E1EA6K,Lake,Tavares,FL,32778,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,145
5YJSA1E2XH,Palm Beach,West Palm Beach,FL,33415,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),250,75000,145
5YJ3E1EA4K,Sarasota,Sarasota,FL,34242,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,145
JTMEB3FV6N,Monroe,Key West,FL,33040,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,41590,145
JTMEB3FV3N,Hillsborough,Lithia,FL,33547,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,41590,145
3FA6P0PU2F,Okaloosa,Valparaiso,FL,32580,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),222,28000,145
5UXKT0C36H,Leavenworth,Lansing,KS,66043,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),14,63900,180
5YJYGAEE0M,Leavenworth,Fort Leavenworth,KS,66027,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,180
5YJ3E1EB0M,Geary,Junction City,KS,66441,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,180
1G1RA6S5XJ,Cumberland,Fort Bragg,NC,28307,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,34395,235
5UXKT0C36H,Cumberland,Fayetteville,NC,28305,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),14,63900,235
5YJYGDEE4M,Cumberland,Fayetteville,NC,28312,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,235
KNDCM3LD8L,Onslow,Mccutcheon Field,NC,28545,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),220,26590,235
2C4RC1H71J,Moore,Southern Pines,NC,28387,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33,44995,235
5YJ3E1EA1M,Wayne,Goldsboro,NC,27534,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,235
7SAYGAEE8N,Hoke,Raeford,NC,28376,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,235
JA4J24A50J,Williams,Williston,ND,58802,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22,39845,240
2C4RC1S72M,Douglas,Omaha,NE,68130,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32,44995,205
WA1VABGE7M,Douglas,Omaha,NE,68102,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),222,65000,205
2C4RC1N72J,Douglas,Omaha,NE,68135,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33,44995,205
5YJ3E1EB5L,Douglas,Omaha,NE,68110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,205
1FADP5CU3F,Jefferson,Felts Mills,NY,13638,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),47,24995,230
1N4BZ0CP1H,Nassau,Jericho,NY,11753,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,28000,230
5YJ3E1EB4M,Queens,Jamaica,NY,11436,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,230
5YJXCAE28G,Saratoga,Greenfield Center,NY,12833,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),237,90000,230
WBA7J2C52J,Multnomah,Portland,OR,97214,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),14,90700,255
1C4JJXP64M,Lincoln,Lincoln City,OR,97367,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25,54375,255
1N4AZ1CP4K,Clackamas,West Linn,OR,97068,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),220,28000,255
JTMAB3FV4N,Polk,Salem,OR,97304,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,41590,255
1G1FW6S01H,Douglas,Elkton,OR,97436,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,255
5YJYGDEE6M,Pennington,Rapid City,SD,57701,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,305
5YJYGAEE4M,Douglas,South Range,WI,54874,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,345
1G1RB6S54J,Middlesex,Bedford,MA,1730,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,34395,265
7SAYGDEE4N,Middlesex,Chelmsford,MA,1824,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,265
5YJ3E1EC1N,Middlesex,Hanscom Afb,MA,1731,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,265
1G1RB6E46F,Carroll,North Conway,NH,3860,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,34395,215
5YJ3E1EC4L,Rockingham,Portsmouth,NH,3804,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,215
1N4AZ1CP4J,Montgomery,Norristown,PA,19403,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,28000,290
5YJ3E1EB1N,Cumberland,Mechanicsburg,PA,17050,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,290
5YJXCBE22G,Allegheny,Wexford,PA,15090,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),237,90000,290
5YJYGAEE1M,Montgomery,Fort Campbell,TN,42223,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,310
5YJ3E1EC1L,Tipton,Atoka,TN,38004,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,310
