dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1686484800,"{'temp': 285.59, 'feels_like': 285.06, 'temp_min': 285.59, 'temp_max': 285.59, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 860, 'humidity': 83, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 0.23, 'deg': 321, 'gust': 0.64}",10000,0.16,{'pod': 'n'},2023-06-11 12:00:00,
1686495600,"{'temp': 287.73, 'feels_like': 287.18, 'temp_min': 287.73, 'temp_max': 287.73, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 861, 'humidity': 74, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 81},"{'speed': 1.01, 'deg': 39, 'gust': 1.23}",10000,0.0,{'pod': 'd'},2023-06-11 15:00:00,
1686506400,"{'temp': 291.28, 'feels_like': 290.64, 'temp_min': 291.28, 'temp_max': 291.28, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 862, 'humidity': 57, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 79},"{'speed': 2.21, 'deg': 60, 'gust': 3.24}",10000,0.06,{'pod': 'd'},2023-06-11 18:00:00,
1686517200,"{'temp': 294.91, 'feels_like': 294.21, 'temp_min': 294.91, 'temp_max': 294.91, 'pressure': 1007, 'sea_level': 1007, 'grnd_level': 861, 'humidity': 41, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 1.35, 'deg': 57, 'gust': 3.25}",10000,0.47,{'pod': 'd'},2023-06-11 21:00:00,{'3h': 0.15}
1686528000,"{'temp': 296.17, 'feels_like': 295.42, 'temp_min': 296.17, 'temp_max': 296.17, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 860, 'humidity': 34, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 89},"{'speed': 3.55, 'deg': 354, 'gust': 4.73}",10000,0.43,{'pod': 'd'},2023-06-12 00:00:00,{'3h': 0.45}
1686538800,"{'temp': 292.97, 'feels_like': 292.29, 'temp_min': 292.97, 'temp_max': 292.97, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 860, 'humidity': 49, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 74},"{'speed': 0.18, 'deg': 302, 'gust': 4.21}",10000,0.85,{'pod': 'd'},2023-06-12 03:00:00,{'3h': 0.32}
1686549600,"{'temp': 287.19, 'feels_like': 286.87, 'temp_min': 287.19, 'temp_max': 287.19, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 862, 'humidity': 85, 'temp_kf': 0}","[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'all': 87},"{'speed': 2.81, 'deg': 203, 'gust': 3.14}",10000,1.0,{'pod': 'n'},2023-06-12 06:00:00,{'3h': 13.43}
1686560400,"{'temp': 285.34, 'feels_like': 284.81, 'temp_min': 285.34, 'temp_max': 285.34, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 861, 'humidity': 84, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'all': 100},"{'speed': 3.45, 'deg': 225, 'gust': 3.88}",10000,1.0,{'pod': 'n'},2023-06-12 09:00:00,{'3h': 4.27}
1686571200,"{'temp': 286.11, 'feels_like': 285.5, 'temp_min': 286.11, 'temp_max': 286.11, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 861, 'humidity': 78, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 99},"{'speed': 1.73, 'deg': 247, 'gust': 2.11}",10000,0.96,{'pod': 'n'},2023-06-12 12:00:00,{'3h': 1.24}
1686582000,"{'temp': 286.94, 'feels_like': 286.41, 'temp_min': 286.94, 'temp_max': 286.94, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 862, 'humidity': 78, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 98},"{'speed': 1.56, 'deg': 282, 'gust': 2.08}",10000,0.56,{'pod': 'd'},2023-06-12 15:00:00,{'3h': 0.6}
1686592800,"{'temp': 289.12, 'feels_like': 288.65, 'temp_min': 289.12, 'temp_max': 289.12, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 863, 'humidity': 72, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 98},"{'speed': 2.58, 'deg': 272, 'gust': 3.51}",10000,0.79,{'pod': 'd'},2023-06-12 18:00:00,{'3h': 1}
1686603600,"{'temp': 288.89, 'feels_like': 288.53, 'temp_min': 288.89, 'temp_max': 288.89, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 863, 'humidity': 77, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 0.91, 'deg': 270, 'gust': 1.79}",10000,1.0,{'pod': 'd'},2023-06-12 21:00:00,{'3h': 2.78}
1686614400,"{'temp': 288.61, 'feels_like': 288.14, 'temp_min': 288.61, 'temp_max': 288.61, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 864, 'humidity': 74, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 96},"{'speed': 3, 'deg': 240, 'gust': 3.15}",10000,1.0,{'pod': 'd'},2023-06-13 00:00:00,{'3h': 6.6}
